date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:01:08	2972/2972	---MCZ	200	added ('OK')	text/html	etag:W/%22b9c-539c7ecfb97a2%22	http://bestday.maskandesign.com/html/	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/index.html	(from )
17:01:09	141594/141594	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac3d88-2291a%22	http://bestday.maskandesign.com/html/css/bootstrap.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/bootstrap.css	(from http://bestday.maskandesign.com/html/)
17:01:09	22608/22608	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac3d88-5850%22	http://bestday.maskandesign.com/html/css/bootstrap-theme.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/bootstrap-theme.css	(from http://bestday.maskandesign.com/html/)
17:01:09	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac3d88-5cbb%22	http://bestday.maskandesign.com/html/css/font-awesome.min.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/font-awesome.min.css	(from http://bestday.maskandesign.com/html/)
17:01:09	792/792	---M--	200	added ('OK')	text/css	etag:%2257ac3d88-318%22	http://bestday.maskandesign.com/html/css/flaticon/flaticon.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/flaticon/flaticon.css	(from http://bestday.maskandesign.com/html/)
17:01:10	1476/1476	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac3d88-5c4%22	http://bestday.maskandesign.com/html/css/owl.carousel.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/owl.carousel.css	(from http://bestday.maskandesign.com/html/)
17:01:10	3304/3304	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac3d88-ce8%22	http://bestday.maskandesign.com/html/css/colorbox.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/colorbox.css	(from http://bestday.maskandesign.com/html/)
17:01:10	5713/5713	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac3d88-1651%22	http://bestday.maskandesign.com/html/css/style.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/style.css	(from http://bestday.maskandesign.com/html/)
17:01:10	853/853	---M--	200	added ('OK')	text/css	etag:%2257ac3d88-355%22	http://bestday.maskandesign.com/html/css/jquery.scrollSections.css	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/css/jquery.scrollSections.css	(from http://bestday.maskandesign.com/html/)
17:01:11	29155/29155	---MCZ	200	added ('OK')	text/html	etag:W/%2271e3-539c7edb48762%22	http://bestday.maskandesign.com/html/template/index_brown.html	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/template/index_brown.html	(from http://bestday.maskandesign.com/html/)
17:01:12	29281/29281	---MCZ	200	added ('OK')	text/html	etag:W/%227261-539c7edb49702%22	http://bestday.maskandesign.com/html/template/index_pink.html	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/template/index_pink.html	(from http://bestday.maskandesign.com/html/)
17:01:12	29251/29251	---MCZ	200	added ('OK')	text/html	etag:W/%227243-539c7edb4b642%22	http://bestday.maskandesign.com/html/template/index_red.html	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/template/index_red.html	(from http://bestday.maskandesign.com/html/)
17:01:13	29281/29281	---MCZ	200	added ('OK')	text/html	etag:W/%227261-539c7edb477c2%22	http://bestday.maskandesign.com/html/template/index_blue.html	C:/My%20Web%20Sites/Template%20Beundangan.me%202/bestday.maskandesign.com/html/template/index_blue.html	(from http://bestday.maskandesign.com/html/)
